City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,longyearbyen,78.2186,15.6401,8.91,71,40,3.6,SJ,1690041071
138,greymouth,-42.4667,171.2,4.65,90,99,2.29,NZ,1690041071
139,pitimbu,-7.4706,-34.8086,26.33,72,12,7.27,BR,1690041071
140,altay,47.8667,88.1167,21.24,34,2,2.91,CN,1690041071
141,atafu village,-8.5421,-172.5159,28.31,70,2,3.43,TK,1690041072
142,whangarei,-35.7317,174.3239,8.92,91,94,2.48,NZ,1690041072
143,akureyri,65.6835,-18.0878,10.96,82,75,4.63,IS,1690041072
144,makinsk,52.6292,70.4169,18.69,53,59,2.35,KZ,1690041072
145,yaren,-0.5472,166.916,27.96,78,100,5.83,NR,1690041072
146,daru,-9.0763,143.2092,24.91,73,36,4.99,PG,1690041072
147,ilulissat,69.2167,-51.1,10.01,76,75,2.57,GL,1690041068
148,kupang,-10.1667,123.5833,23.64,76,57,4.82,ID,1690041073
149,port said,31.2565,32.2841,31.99,62,0,5.14,EG,1690040786
150,copala,16.65,-98.9833,31.27,59,89,1.66,MX,1690041073
151,shubarkuduk,49.1447,56.4872,28.6,29,53,3.88,KZ,1690041073
152,puerto baquerizo moreno,-0.9,-89.6,26.55,74,20,4.12,EC,1690041073
153,zhengzhou,34.7578,113.6486,27.27,63,0,4.17,CN,1690041074
154,laguna,38.421,-121.4238,33.32,48,0,0.45,US,1690041074
155,kone,-21.0595,164.8658,17.45,76,48,1.89,NC,1690041074
156,vernon,50.2581,-119.2691,25.72,35,9,0.51,CA,1690041074
157,christchurch,-43.5333,172.6333,10.51,94,100,1.54,NZ,1690040930
158,trujillo,-8.116,-79.03,23.98,73,20,3.6,PE,1690040945
159,vadso,70.0744,29.7487,9.49,81,100,8.75,NO,1690041075
160,gebeit,21.0667,36.3167,38.35,10,47,2.4,SD,1690041075
161,hasaki,35.7333,140.8333,23.5,85,0,2.51,JP,1690041075
162,richards bay,-28.783,32.0377,20.02,60,0,4.99,ZA,1690041075
163,kalabo,-14.97,22.6814,27.38,21,9,2.79,ZM,1690041075
164,sandnessjoen,66.0217,12.6316,16.29,88,75,2.57,NO,1690041075
165,kalaleh,37.3807,55.4916,34.78,46,20,5.14,IR,1690041076
166,alofi,-19.0595,-169.9187,22.94,88,32,2.57,NU,1690041076
167,veinticinco de mayo,-35.4323,-60.1727,23.34,62,100,5.51,AR,1690041076
168,miyako,39.6367,141.9525,20.7,97,55,2.63,JP,1690041076
169,la sarre,48.8002,-79.1996,20.39,40,0,1.9,CA,1690041076
170,ikungi,-5.1333,34.7667,21.98,37,18,3.42,TZ,1690041076
171,ormara,25.2088,64.6357,28.29,87,100,3.45,PK,1690041076
172,anatuya,-28.4606,-62.8347,32.05,25,100,8.47,AR,1690041077
173,gaalkacyo,6.7697,47.4308,30.78,42,100,10.41,SO,1690041077
174,syzran',53.1585,48.4681,22.14,43,42,4.86,RU,1690041077
175,arteche,12.2645,125.4048,25.28,93,98,4.85,PH,1690041077
176,dingzhou,38.5131,114.9956,23.06,80,6,1.57,CN,1690041077
177,hilo,19.7297,-155.09,23.47,97,100,3.09,US,1690041077
178,nova vicosa,-17.8919,-39.3719,23.82,74,47,4.62,BR,1690041078
179,auki,-8.7676,160.7034,25.08,90,100,1.77,SB,1690041078
